frame,draw_calls,triangles,vertices,rasterized_pixels,fragments,texture_samples,input_triangles,clipped_triangles,clip_discarded_triangles,clip_output_triangles,culled_triangles,raster_input_triangles,degenerate_triangles,vertex_ms,primitive_ms,clip_ms,perspective_division_ms,cull_ms,screen_mapping_ms,raster_ms,perspective_recover_ms,fragment_ms
0,1,12,36,124002,124002,496008,12,0,0,12,0,12,0,0.111300,30.631000,0.076900,0.001200,0.000000,0.000700,28.987600,1.546700,73.511700
1,3,306,918,289974,289974,1159896,306,0,0,306,0,306,0,1.482700,77.497400,2.687700,0.001100,0.000000,0.020000,73.857500,0.896800,151.042200
2,3,306,918,289974,289974,1159896,306,0,0,306,0,306,0,1.427500,75.394100,1.660600,0.001500,0.000000,0.019400,72.736600,0.941000,148.597000
3,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.410500,73.510300,1.600600,0.002600,0.000000,0.030500,70.856800,0.982700,141.499200
4,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.280000,67.179700,1.421400,0.001100,0.000000,0.016100,64.892600,0.823300,128.042300
5,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.173700,62.732100,1.347200,0.000800,0.000000,0.016000,60.360700,0.978800,126.996000
6,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.354900,65.137900,1.529000,0.000900,0.000000,0.018000,62.810900,0.757300,129.962500
7,3,306,918,289974,289974,1159896,306,0,0,306,0,306,0,1.174800,63.965800,1.476300,0.000800,0.000000,0.017300,61.704800,0.740700,126.507400
8,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.170900,62.822900,1.367400,0.001000,0.000000,0.015800,60.571500,0.838600,127.026500
9,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.177600,62.954000,1.362900,0.001000,0.000000,0.016300,60.833500,0.715700,125.285800
10,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.120200,64.297700,1.341200,0.000900,0.000000,0.016300,61.795300,1.119600,129.348900
11,3,306,918,289963,289963,1159852,306,0,0,306,0,306,0,1.249500,71.480800,1.397600,0.000900,0.000000,0.017200,69.146600,0.871000,135.492100
